Site	Library_ID	avg_gc_map	avg_rl_map	avg_gc_unmap	avg_rl_unmap	avg_gc_map_10M	avg_rl_map_10M	avg_gc_unmap_10M	avg_rl_unmap_10M	avg_gc_map_75bp	avg_rl_map_75bp	avg_gc_unmap_75bp	avg_rl_unmap_75bp
Middenbeemster	MID046.A0101	45.7859244877205	65.5939219375803	44	65.5247166228197	45.7859244877205	65.5939219375803	44	65.5247166228197	40	53.7618884965002	44	52.009592610308
Middenbeemster	MID047.A0101	51.6166893592303	67.3578701558707	49	69.9143585644738	51.6166893592303	67.3578701558707	49	69.9143585644738	52	53.5823961636832	48	53.3699784047428
Middenbeemster	MID048.A0101	51.6230117685356	65.1631491359693	48	62.4713583402604	51.6230117685356	65.1631491359693	48	62.4713583402604	50	51.5709253594209	47	49.8603978366905
Middenbeemster	MID049.A0101	46.2591510851708	69.4840085926439	46	77.3852803661106	45	70.0644346430892	46	77.3850448714323	45	55.1700048182811	46	56.7980752004979
Middenbeemster	MID050.A0101	47.2100675725937	65.1985543639222	47	72.2962838909929	44	67.9053380883584	47	72.3448586276192	45	53.8059130558349	46	54.4717543745032
Middenbeemster	MID051.A0101	49.9178140974378	65.9848153225402	47	72.2628610257711	49.9178140974378	65.9848153225402	47	72.2628610257711	48	52.7500307794405	46	53.9570188149214
Middenbeemster	MID053.A0101	45.5667316530633	62.2353716755093	45	62.3338633533197	45.5667316530633	62.2353716755093	45	62.3338633533197	43	51.5322231645168	44	50.0244167888854
Middenbeemster	MID054.A0101	49.8996101440426	71.1576841963691	48	73.4110732783615	48	71.6320805317445	48	73.4445564132591	48	55.8392589104394	47	55.4945088920383
Middenbeemster	MID055.A0101	56.1456934548136	65.3773590926384	50	67.6544830170758	53	65.9226819757661	50	67.6890914699139	53	52.4054724612213	49	51.8856810028836
Middenbeemster	MID056.A0101	59.7001331873032	68.8695491413753	54	69.1874453150506	60	68.5274037620357	54	69.2024362895131	60	53.5476628468755	54	53.2895065565344
Middenbeemster	MID057.A0101	53.8355046301272	70.0811956743403	51	70.3944233048656	52	70.5111305943026	51	70.4376310688819	52	54.5110566243109	50	53.643805775743
Middenbeemster	MID058.A0101	50.0549361069058	66.477866322457	47	68.6586076407707	50.0549361069058	66.477866322457	47	68.6586076407707	46	53.360009498122	47	52.7154086192527
Middenbeemster	MID059.A0101	54.6571412635464	67.4471302753691	47	68.1515484978427	53	68.5801333158191	47	68.1872640199259	53	53.7277568072709	47	52.7296481365112
Middenbeemster	MID060.A0101	49.033542738709	68.5347097742905	48	69.7843767052897	49.033542738709	68.5347097742905	48	69.7843767052897	45	54.1913739027271	47	53.5420419032501
Middenbeemster	MID061.A0101	52.0709913696007	74.5010492506173	51	73.1793776134653	53	73.8058396264533	51	73.1927975945609	53	56.1003856160514	51	54.3597749148998
Middenbeemster	MID062.A0101	51.6505972041517	67.6254073278706	49	67.7664143600043	51.6505972041517	67.6254073278706	49	67.7664143600043	49	53.4662659627698	49	52.8343521712306
