#Datasets	CMB001.A0101.unmapped.75bp	CMB002.A0101.unmapped.75bp	CMB003.A0101.unmapped.75bp	CMB004.A0101.unmapped.75bp	CMB005.A0101.unmapped.75bp	CMB006.A0101.unmapped.75bp	CMB007.A0101.unmapped.75bp	CMB008.A0101.unmapped.75bp	CS01.unmapped.75bp	CS02.unmapped.75bp	CS03.unmapped.75bp	CS04.unmapped.75bp	CS07.unmapped.75bp	CS08.unmapped.75bp	CS09.unmapped.75bp	CS10.unmapped.75bp	CS11.unmapped.75bp	CS12.unmapped.75bp	CS13.unmapped.75bp	CS14.unmapped.75bp	CS15.unmapped.75bp	CS16.unmapped.75bp	CS17.unmapped.75bp	CS18.unmapped.75bp	CS19.unmapped.75bp	CS20.unmapped.75bp	CS21.unmapped.75bp	CS22.unmapped.75bp	CS23.unmapped.75bp	CS24.unmapped.75bp	CS26.unmapped.75bp	CS27.unmapped.75bp	CS28.unmapped.75bp	CS29.unmapped.75bp	CS30.unmapped.75bp	CS31.unmapped.75bp	CS32.unmapped.75bp	CS33.unmapped.75bp	CS34.unmapped.75bp	CS35.unmapped.75bp	CS36.unmapped.75bp	CS37.unmapped.75bp	CS38.unmapped.75bp	CS39.unmapped.75bp	CS40.unmapped.75bp	CS42.unmapped.75bp	CS43.unmapped.75bp	CS44.unmapped.75bp	CS45.unmapped.75bp	CS46.unmapped.75bp	CS47.unmapped.75bp	CS48.unmapped.75bp	ELR003.A0101.unmapped.75bp	ELR004.A0101.unmapped.75bp	ELR006.A0101.unmapped.75bp	ELR008.A0101.unmapped.75bp	ELR010.A0101.unmapped.75bp	IVE002.B0101.unmapped.75bp	IVE003.A0101.unmapped.75bp	IVE005.A0101.unmapped.75bp	IVE005.B0101.unmapped.75bp	IVE007.B0101.unmapped.75bp	JAE006.A0101.unmapped.75bp	JAE007.A0101.unmapped.75bp	JAE008.A0101.unmapped.75bp	JAE009.A0101.unmapped.75bp	JAE010.A0101.unmapped.75bp	JAE012.A0101.unmapped.75bp	JAE013.A0101.unmapped.75bp	JAE014.A0101.unmapped.75bp	JAE015.A0101.unmapped.75bp	JAE016.A0101.unmapped.75bp	KT01calc.unmapped.75bp	KT02calc.unmapped.75bp	KT03calc.unmapped.75bp	KT04calc.unmapped.75bp	KT05calc.unmapped.75bp	KT06calc.unmapped.75bp	KT07calc.unmapped.75bp	KT08calc.unmapped.75bp	KT09calc.unmapped.75bp	KT10calc.unmapped.75bp	KT11calc.unmapped.75bp	KT12calc.unmapped.75bp	KT13calc.unmapped.75bp	KT14calc.unmapped.75bp	KT15calc.unmapped.75bp	KT16calc.unmapped.75bp	KT17calc.unmapped.75bp	KT18calc.unmapped.75bp	KT19calc.unmapped.75bp	KT20calc.unmapped.75bp	KT21calc.unmapped.75bp	KT22calc.unmapped.75bp	KT23calc.unmapped.75bp	KT24calc.unmapped.75bp	KT25calc.unmapped.75bp	KT26calc.unmapped.75bp	KT27calc.unmapped.75bp	KT28calc.unmapped.75bp	KT29calc.unmapped.75bp	KT30calc.unmapped.75bp	KT31calc.unmapped.75bp	KT32calc.unmapped.75bp	KT33calc.unmapped.75bp	KT34calc.unmapped.75bp	KT35calc.unmapped.75bp	KT36calc.unmapped.75bp	MID022.A0101.unmapped.75bp	MID023.A0101.unmapped.75bp	MID024.A0101.unmapped.75bp	MID025.A0101.unmapped.75bp	MID026.A0101.unmapped.75bp	MID027.A0101.unmapped.75bp	MID028.A0101.unmapped.75bp	MID029.A0101.unmapped.75bp	MID030.A0101.unmapped.75bp	MID031.A0101.unmapped.75bp	MID032.A0101.unmapped.75bp	MID033.A0101.unmapped.75bp	MID034.A0101.unmapped.75bp	MID035.A0101.unmapped.75bp	MID036.A0101.unmapped.75bp	MID037.A0101.unmapped.75bp	MID038.A0101.unmapped.75bp	MID039.A0101.unmapped.75bp	MID040.A0101.unmapped.75bp	MID041.A0101.unmapped.75bp	MID042.A0101.unmapped.75bp	MID043.A0101.unmapped.75bp	MID044.A0101.unmapped.75bp	MID045.A0101.unmapped.75bp	MID046.A0101.unmapped.75bp	MID047.A0101.unmapped.75bp	MID048.A0101.unmapped.75bp	MID049.A0101.unmapped.75bp	MID050.A0101.unmapped.75bp	MID051.A0101.unmapped.75bp	MID052.A0101.unmapped.75bp	MID053.A0101.unmapped.75bp	MID054.A0101.unmapped.75bp	MID055.A0101.unmapped.75bp	MID056.A0101.unmapped.75bp	MID057.A0101.unmapped.75bp	MID058.A0101.unmapped.75bp	MID059.A0101.unmapped.75bp	MID060.A0101.unmapped.75bp	MID061.A0101.unmapped.75bp	MID062.A0101.unmapped.75bp	MID063.A0101.unmapped.75bp	MID064.A0101.unmapped.75bp	MID065.A0101.unmapped.75bp	MID066.A0101.unmapped.75bp	MID067.A0101.unmapped.75bp	MID068.A0101.unmapped.75bp	MID068.B0101.unmapped.75bp	MID070.A0101.unmapped.75bp	MID071.A0101.unmapped.75bp	MID072.A0101.unmapped.75bp	MID073.A0101.unmapped.75bp	MID074.A0101.unmapped.75bp	MID075.A0101.unmapped.75bp	MID076.A0101.unmapped.75bp	MID077.A0101.unmapped.75bp	MID078.A0101.unmapped.75bp	MID079.A0101.unmapped.75bp	MID080.A0101.unmapped.75bp	MID081.A0101.unmapped.75bp	MID082.A0101.unmapped.75bp	MID083.A0101.unmapped.75bp	MID084.A0101.unmapped.75bp	MID085.A0101.unmapped.75bp	MID086.A0101.unmapped.75bp	MID087.A0101.unmapped.75bp	MID088.A0101.unmapped.75bp	MID089.A0101.unmapped.75bp	MID090.A0101.unmapped.75bp	MID091.A0101.unmapped.75bp	MID092.A0101.unmapped.75bp	MID093.A0101.unmapped.75bp	MID094.A0101.unmapped.75bp	MID097.A0101.unmapped.75bp	MID101.A0101.unmapped.75bp	MID102.A0101.unmapped.75bp
"Neisseria sp. HMSC31F04"	0.0	690.0	0.0	0.0	287.0	334.0	0.0	0.0	1614.0	0.0	0.0	0.0	1474.0	3981.0	843.0	7139.0	0.0	659.0	7046.0	191.0	580.0	3762.0	0.0	4145.0	2321.0	0.0	0.0	8836.0	11113.0	2727.0	0.0	0.0	0.0	9228.0	278.0	1142.0	0.0	424.0	7059.0	0.0	0.0	0.0	0.0	0.0	0.0	1041.0	0.0	591.0	4677.0	3693.0	985.0	20.0	436.0	1657.0	0.0	1855.0	0.0	5217.0	881.0	2493.0	13710.0	0.0	69131.0	52450.0	1569.0	8805.0	4922.0	29064.0	32738.0	6939.0	2723.0	0.0	1503.0	0.0	0.0	307.0	178.0	0.0	0.0	1609.0	0.0	0.0	0.0	0.0	0.0	356.0	0.0	201.0	0.0	0.0	3758.0	0.0	0.0	773.0	365.0	0.0	0.0	750.0	266.0	0.0	178.0	0.0	1422.0	341.0	495.0	0.0	0.0	0.0	0.0	6658.0	0.0	0.0	1454.0	2586.0	2032.0	3139.0	0.0	255.0	0.0	0.0	0.0	553.0	3180.0	1779.0	1432.0	2612.0	0.0	367.0	4531.0	2235.0	413.0	1328.0	0.0	547.0	3366.0	2034.0	1165.0	0.0	0.0	0.0	0.0	0.0	442.0	399.0	0.0	0.0	0.0	13846.0	398.0	0.0	0.0	1567.0	1104.0	377.0	1844.0	1179.0	1206.0	3283.0	0.0	1114.0	745.0	0.0	0.0	2579.0	1954.0	441.0	1112.0	0.0	0.0	5275.0	0.0	2668.0	224.0	5150.0	657.0	418.0	2006.0	651.0	0.0	0.0	6084.0	0.0	2991.0	1687.0
"Neisseria sp. HMSC70E02"	0.0	724.0	0.0	0.0	244.0	0.0	0.0	0.0	650.0	0.0	0.0	0.0	1047.0	1414.0	0.0	5123.0	0.0	0.0	7883.0	0.0	474.0	5828.0	0.0	2478.0	2502.0	0.0	0.0	5883.0	6891.0	1223.0	0.0	0.0	0.0	10191.0	339.0	626.0	0.0	0.0	2084.0	0.0	0.0	0.0	0.0	0.0	0.0	2453.0	0.0	254.0	1902.0	0.0	0.0	0.0	0.0	964.0	0.0	0.0	0.0	2468.0	971.0	0.0	3384.0	0.0	22229.0	26674.0	4016.0	0.0	13506.0	1877.0	21509.0	1738.0	0.0	0.0	995.0	0.0	0.0	369.0	0.0	0.0	0.0	1483.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	275.0	0.0	0.0	1197.0	0.0	0.0	744.0	787.0	0.0	0.0	239.0	0.0	0.0	0.0	0.0	1031.0	243.0	0.0	0.0	0.0	0.0	0.0	6061.0	0.0	0.0	820.0	7164.0	489.0	1463.0	0.0	0.0	380.0	0.0	0.0	244.0	3077.0	787.0	1885.0	867.0	0.0	0.0	706.0	1519.0	0.0	0.0	0.0	1166.0	761.0	783.0	625.0	0.0	0.0	0.0	227.0	0.0	0.0	575.0	0.0	0.0	0.0	4409.0	0.0	0.0	0.0	4856.0	0.0	0.0	277.0	0.0	679.0	894.0	0.0	0.0	0.0	0.0	0.0	1936.0	1386.0	1014.0	2103.0	0.0	323.0	3275.0	0.0	1931.0	277.0	483.0	0.0	0.0	1363.0	0.0	0.0	0.0	1423.0	0.0	1328.0	1151.0
"Neisseria sp. KEM232"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	447.0	0.0	0.0	0.0	0.0	0.0	270.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2066.0	929.0	0.0	0.0	0.0	997.0	0.0	0.0	0.0	468.0	4046.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	418.0	0.0	0.0	0.0	0.0	661.0	0.0	0.0	0.0	0.0	0.0	0.0	840.0	0.0	6879.0	18032.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	328.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	375.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	444.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1152.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1341.0	0.0	976.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Neisseria sp. oral taxon 014"	0.0	3609.0	0.0	0.0	2914.0	4778.0	0.0	0.0	1906.0	0.0	0.0	511.0	2349.0	3030.0	2041.0	2510.0	1113.0	545.0	19480.0	548.0	8499.0	3504.0	584.0	1420.0	3297.0	0.0	1472.0	8799.0	19459.0	9217.0	243.0	0.0	0.0	5881.0	1483.0	801.0	0.0	1312.0	2698.0	0.0	0.0	0.0	0.0	1396.0	0.0	1254.0	0.0	4957.0	1338.0	648.0	8369.0	107.0	906.0	5171.0	0.0	766.0	0.0	5701.0	10432.0	705.0	3173.0	5559.0	12828.0	13925.0	26816.0	5342.0	5192.0	2010.0	9616.0	0.0	0.0	0.0	11667.0	552.0	198.0	713.0	833.0	0.0	1167.0	16798.0	0.0	0.0	1205.0	175.0	0.0	437.0	0.0	4272.0	0.0	154.0	11446.0	0.0	0.0	7881.0	9010.0	1184.0	634.0	1283.0	366.0	0.0	1863.0	288.0	10874.0	2705.0	728.0	218.0	247.0	250.0	510.0	5197.0	0.0	0.0	2088.0	1950.0	473.0	1081.0	0.0	266.0	1554.0	380.0	0.0	3932.0	3129.0	785.0	12675.0	3480.0	266.0	3481.0	3972.0	937.0	1591.0	3776.0	0.0	1528.0	544.0	1272.0	5616.0	0.0	0.0	0.0	0.0	1630.0	0.0	2021.0	0.0	0.0	409.0	2683.0	1624.0	0.0	0.0	8655.0	6129.0	0.0	1165.0	1882.0	2605.0	2972.0	0.0	0.0	1239.0	0.0	0.0	11244.0	5779.0	686.0	3487.0	3794.0	0.0	1790.0	542.0	9006.0	1673.0	410.0	0.0	807.0	1517.0	4967.0	0.0	0.0	3183.0	0.0	1596.0	3563.0
"Neisseria sp. oral taxon 020"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	414.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	548.0	1865.0	637.0	0.0	0.0	0.0	1077.0	0.0	0.0	0.0	540.0	4596.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	472.0	0.0	0.0	0.0	0.0	942.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2203.0	0.0	0.0	0.0	0.0	1533.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	360.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	484.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234.0	508.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	325.0	0.0	0.0	0.0	0.0	1352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1211.0	0.0	1196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Azonexus fungiphilus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Dechloromonas denitrificans"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Candidatus Dactylopiibacterium carminicum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1105.0	329.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	232.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5912.0	2682.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1355.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	370.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Propionivibrio dicarboxylicus"	435.0	0.0	540.0	451.0	818.0	599.0	689.0	182.0	0.0	0.0	0.0	723.0	832.0	428.0	621.0	0.0	0.0	0.0	0.0	0.0	805.0	0.0	0.0	0.0	0.0	0.0	535.0	0.0	0.0	0.0	271.0	61.0	0.0	0.0	463.0	683.0	0.0	0.0	0.0	0.0	0.0	710.0	766.0	272.0	535.0	352.0	466.0	403.0	0.0	1208.0	907.0	14.0	0.0	0.0	1099.0	0.0	0.0	0.0	805.0	427.0	0.0	1388.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	710.0	213.0	134.0	353.0	451.0	1291.0	419.0	0.0	0.0	383.0	474.0	259.0	354.0	217.0	614.0	486.0	243.0	537.0	0.0	616.0	407.0	0.0	238.0	309.0	273.0	908.0	252.0	183.0	343.0	470.0	469.0	330.0	364.0	594.0	221.0	408.0	1231.0	0.0	1278.0	0.0	485.0	0.0	438.0	0.0	0.0	843.0	544.0	0.0	396.0	248.0	596.0	0.0	411.0	0.0	392.0	487.0	0.0	0.0	478.0	0.0	0.0	252.0	0.0	521.0	745.0	492.0	566.0	0.0	796.0	0.0	406.0	991.0	460.0	723.0	663.0	0.0	471.0	414.0	0.0	0.0	1258.0	787.0	486.0	375.0	753.0	1345.0	546.0	591.0	0.0	0.0	0.0	1019.0	405.0	0.0	249.0	2355.0	343.0	504.0	1137.0	3041.0	440.0	0.0	0.0	763.0	0.0	653.0	486.0	0.0	1056.0	654.0	503.0	0.0
"Rhodocyclaceae bacterium Paddy-1"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	610.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Thauera sp. MZ1T"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2365.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Candidatus Accumulibacter phosphatis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	353.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Desulfarculus baarsii"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Desulfatibacillum aliphaticivorans"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	258.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
