Library_ID	Observed_species	Shannon_index	Pileou_evenness
JAE007.A0101	73	2.69664113472595	0.626533538952227
JAE008.A0101	133	3.48570973324734	0.7116830838939
JAE009.A0101	142	3.46263937808533	0.697712629763304
JAE010.A0101	124	3.36317203509025	0.696552092111839
JAE012.A0101	117	2.97970601006407	0.624586667243344
JAE013.A0101	116	3.04390851494209	0.639184657389328
JAE014.A0101	147	3.73300588398355	0.74701767294982
JAE015.A0101	129	3.16856551102031	0.650959031368281
JAE016.A0101	123	3.0989871400717	0.643987617933201
KT01calc	112	3.86935097412221	0.818496624881551
KT02calc	35	2.43911623559153	0.68604147706701
KT03calc	57	3.01851210716579	0.74659258743026
KT04calc	58	3.12171808415626	0.765589066219852
KT05calc	37	2.69734198952279	0.746996208381696
KT06calc	32	2.49651574102867	0.720342175816658
KT07calc	67	3.07978668674718	0.729892419196006
KT08calc	81	3.39646874225222	0.770747704056888
KT10calc	35	2.55801302485806	0.71948315062758
KT11calc	60	2.99455092519617	0.731387131612332
KT12calc	34	2.71579080362974	0.770139860820199
KT13calc	43	2.56365697653016	0.681606109133447
KT14calc	60	2.87283012233889	0.701658123462804
KT15calc	52	2.76207525614176	0.699039455134749
KT16calc	55	3.15286798741667	0.783252801158566
KT17calc	34	2.46722658393747	0.69965239422195
KT18calc	60	2.77816348383658	0.678536806469653
KT19calc	105	3.58091269575369	0.767869510781186
KT20calc	56	2.86164713177106	0.710906114950775
KT21calc	39	2.76311809922032	0.754216351767794
KT22calc	76	3.70552823028472	0.853060363072943
KT23calc	74	3.08729668688245	0.715067790737644
KT24calc	68	2.89410247870998	0.685886288383775
KT25calc	59	3.05895254181516	0.75019606414334
KT26calc	78	3.5590450480021	0.814529699900787
KT27calc	60	3.00856798033878	0.734810647862514
KT29calc	96	3.50896773490956	0.767035939843683
KT30calc	62	2.76070835748317	0.668916516866219
KT31calc	110	3.8334457373446	0.813976251023169
KT32calc	81	3.64617187507259	0.827411884098625
KT33calc	73	3.19243826453646	0.744078415919477
KT34calc	46	2.83915661848401	0.741557206451235
KT35calc	50	2.86107171023835	0.731353498245908
KT36calc	42	2.65709475732994	0.710896100696639
MID022.A0101	76	2.92045943368403	0.674356789995974
MID023.A0101	82	2.8789546895234	0.651518111887489
MID026.A0101	95	3.53338832944054	0.774127691670307
MID027.A0101	90	3.30714751801754	0.733152409920925
MID028.A0101	90	3.70504621141591	0.821361473586845
MID029.A0101	90	3.30803555096749	0.733349275495804
MID030.A0101	63	2.80427303671801	0.676848140818339
MID031.A0101	67	2.79615412890443	0.665007976090638
