Species
Cloacibacterium normanense
Clostridium botulinum
Cnuibacter physcomitrellae
Comamonadaceae bacterium URHA0028
Comamonas aquatica
Comamonas testosteroni
Conexibacter woesei
Corallococcus coralloides
Coriobacteriaceae bacterium 68-1-3
Corynebacterium aurimucosum
Corynebacterium ihumii
Corynebacterium jeikeium
Corynebacterium kroppenstedtii
Corynebacterium pseudogenitalium
Corynebacterium sp. HMSC034A01
Corynebacterium sp. HMSC05H05
Corynebacterium ureicelerivorans
Crossiella equi
Cryptosporangium arvum
Cryptosporangium aurantiacum
Cupriavidus gilardii
Cupriavidus metallidurans
Cupriavidus necator
Cupriavidus oxalaticus
Cupriavidus plantarum
Cupriavidus taiwanensis
Cutibacterium acnes
Cystobacter fuscus
Cytophaga aurantiaca
Cytophaga hutchinsonii
Dasyatis americana
Deinococcus pimensis
Delftia acidovorans
Derxia gummosa
Devosia enhydra
Devosia sp. 17-2-E-8
Devosia sp. A16
Dialister invisus
Dokdonella immobilis
Dokdonella koreensis
Dongia sp. URHE0060
Duganella sp. CF517
Dyella japonica
Dyella jiangningensis
Dyella thiooxydans
Edaphobacter aggregans
Edwardsiella piscicida
Eggerthella lenta
Elioraea tepidiphila
Enhydrobacter aerosaccus
Ensifer aridi
Enterobacter hormaechei
Enterococcus faecium
Ereboglobus luteus
Escherichia coli
Eubacterium pyruvativorans
Euzebya sp. DY32-46
Extensimonas vulgaris
Firmicutes bacterium
Fontimonas thermophila
Francisellaceae bacterium
Frankia coriariae
Frankia discariae
Frankia elaeagni
Frankia inefficax
Frankia saprophytica
Frankia sp. DC12
Frankia sp. EAN1pec
Frankia sp. QA3
Frankia symbiont of Datisca glomerata
Frankiales bacterium
Frankineae bacterium MT45
Frateuria sp. Soil773
Frateuria terrea
Friedmanniella flava
Friedmanniella luteola
Friedmanniella sagamiharensis
Fulvimonas soli
Fusobacterium naviforme
Gardnerella vaginalis
Gemella haemolysans
Geminicoccus roseus
Gemmata obscuriglobus
Gemmata sp. SH-PL17
Gemmatimonas aurantiaca
Gemmatimonas phototrophica
Gemmatirosa kalamazoonesis
Geobacter sulfurreducens
Geodermatophilaceae bacterium URHA0031
Geodermatophilaceae bacterium URHB0062
Geodermatophilus africanus
Geodermatophilus amargosae
Geodermatophilus nigrescens
Geodermatophilus obscurus
Geodermatophilus poikilotrophus
Geodermatophilus ruber
Geodermatophilus sabuli
Geodermatophilus saharensis
Geodermatophilus siccatus
Geodermatophilus sp. DSM 44208
Geodermatophilus sp. DSM 44511
Geodermatophilus telluris
Geodermatophilus tzadiensis
Georgenia satyanarayanai
Geothrix fermentans
Glaciibacter superstes
Glycomyces arizonensis
Glycomyces artemisiae
Glycomyces harbinensis
Glycomyces sambucus
Glycomyces tenuis
