Frondihabitans sp. PAMC 28766
Gardnerella vaginalis
Gemmata sp. SH-PL17
Gemmatimonas aurantiaca
Gemmatimonas phototrophica
Gemmatirosa kalamazoonesis
Geobacillus
Geobacter pickeringii
Geobacter sp. M18
Geobacter sp. M21
Geobacter sulfurreducens
Geodermatophilus obscurus
Geosporobacter ferrireducens
Glaesserella parasuis
Gloeobacter kilaueensis
Gloeobacter violaceus
Gluconacetobacter diazotrophicus
Gordonia bronchialis
Gordonia phthalatica
Gordonia polyisoprenivorans
Gordonia rubripertincta
Gordonia sp. 1D
Gordonia sp. KTR9
Gordonia terrae
Granulibacter bethesdensis
Granulicella mallensis
Granulicella tundricola
Haliangium ochraceum
Halomonas aestuarii
Halomonas beimenensis
Halomonas chromatireducens
Halomonas elongata
Halomonas sp. 1513
Halomonas sp. HG01
Halorhodospira halophila
Halotalea alkalilenta
Halothiobacillus neapolitanus
Herbaspirillum frisingense
Herbaspirillum hiltneri
Herbaspirillum rubrisubalbicans
Herbaspirillum seropedicae
Herminiimonas
Hoeflea sp. IMCC20628
Homo sapiens
Hoyosella subflava
Hydrogenophaga crassostreae
Hydrogenophaga sp. PBC
Hydrogenophaga sp. RAC07
Hymenobacter
Hyphomicrobium denitrificans
Hyphomicrobium nitrativorans
Hyphomicrobium sp. MC1
Ilumatobacter coccineus
Immundisolibacter cernigliae
Intrasporangium calvum
Isoptericola dokdonensis
Isoptericola variabilis
Isosphaera pallida
Isosphaeraceae
Janibacter terrae
Janthinobacterium agaricidamnosum
Janthinobacterium sp. 1_2014MBL_MicDiv
Janthinobacterium sp. LM6
Janthinobacterium sp. Marseille
Janthinobacterium svalbardensis
Jatrophihabitans sp. GAS493
Jeongeupia sp. USM3
Jeotgalibaca
Jiangella alkaliphila
Jiangella sp. DSM 45060
Kibdelosporangium phytohabitans
Kibdelosporangium sp. MJ126-NF4
Kineococcus radiotolerans
Kiritimatiella glycovorans
Kitasatospora albolonga
Kitasatospora aureofaciens
Kitasatospora setae
Klebsiella pneumoniae
Kocuria flava
Kocuria palustris
Kocuria rhizophila
Kocuria turfanensis
Kribbella flavida
Kutzneria albida
Kytococcus sedentarius
Labilithrix luteola
Lachnoclostridium phocaeense
Lactobacillus crispatus
Lactococcus lactis
Lacunisphaera limnophila
Laribacter hongkongensis
Lasthenia californica
Lawsonella clevelandensis
Leifsonia sp. 21MFCrub1.1
Leifsonia xyli
Lentzea guizhouensis
Leptothrix cholodnii
Libanicoccus massiliensis
Limnochorda pilosa
Limnohabitans sp. 103DPR2
Limnohabitans sp. 63ED37-2
Luteibacter rhizovicinus
Luteimonas
Luteimonas sp. JM171
Luteipulveratus mongoliensis
Lysobacter antibioticus
Lysobacter capsici
Lysobacter enzymogenes
Lysobacter gummosus
Magnetospirillum
Magnetospirillum gryphiswaldense
Magnetospirillum magneticum
Magnetospirillum sp. ME-1
Magnetospirillum sp. XM-1
Mannheimia varigena
Maricaulis maris
Marichromatium purpuratum
Marinithermus hydrothermalis
Marinobacter
Marinovum algicola
Marmoricola scoriae
Martelella endophytica
Martelella mediterranea
Martelella sp. AD-3
Massilia putida
Massilia sp. NR 4-1
Massilia sp. WG5
Megasphaera elsdenii
Meiothermus ruber
Melittangium boletus
Mesorhizobium amorphae
Mesorhizobium australicum
Mesorhizobium ciceri
Mesorhizobium huakuii
Mesorhizobium japonicum
Mesorhizobium loti
Mesorhizobium oceanicum
Mesorhizobium opportunistum
Mesorhizobium sp. WSM1497
Methanocaldococcus
methanogenic archaeon mixed culture ISO4-G1
Methanothermus fervidus
Methylibium petroleiphilum
Methylobacterium aquaticum
Methylobacterium nodulans
Methylobacterium oryzae
Methylobacterium phyllosphaerae
Methylobacterium radiotolerans
Methylobacterium sp. 4-46
Methylobacterium sp. AMS5
Methylobacterium sp. C1
Methylocaldum marinum
Methyloceanibacter caenitepidi
Methylocella silvestris
Methylococcus capsulatus
Methylocystis bryophila
Methylocystis sp. SC2
Methylophilus sp. TWE2
Methylorubrum extorquens
Methylorubrum populi
Methylotenera mobilis
Methylotenera versatilis
Methyloversatilis sp. RAC08
Microbacterium aurum
Microbacterium chocolatum
Microbacterium foliorum
Microbacterium paludicola
Microbacterium paraoxydans
Microbacterium pygmaeum
Microbacterium sp. BH-3-3-3
Microbacterium sp. LKL04
Microbacterium sp. No. 7
Microbacterium sp. PAMC 28756
Microbacterium sp. TPU 3598
Microbacterium sp. XT11
Microbacterium testaceum
Microcella alkaliphila
Micrococcus luteus
Microlunatus phosphovorus
Microlunatus soli
Micromonospora aurantiaca
Micromonospora auratinigra
Micromonospora chokoriensis
Micromonospora coriariae
Micromonospora coxensis
Micromonospora echinaurantiaca
Micromonospora echinofusca
Micromonospora echinospora
Micromonospora inositola
Micromonospora krabiensis
Micromonospora narathiwatensis
Micromonospora purpureochromogenes
Micromonospora rifamycinica
Micromonospora siamensis
Micromonospora sp. L5
Micromonospora viridifaciens
Micromonospora zamorensis
Microterricola viridarii
Microvirga ossetica
Minicystis rosea
Mitsuaria sp. 7
Modestobacter marinus
Moraxella osloensis
Mus musculus
Mycobacterium avium
Mycobacterium canettii
Mycobacterium chimaera
Mycobacterium colombiense
Mycobacterium haemophilum
Mycobacterium intracellulare
Mycobacterium kansasii
Mycobacterium leprae
Mycobacterium lepraemurium
Mycobacterium marinum
Mycobacterium marseillense
Mycobacterium shigaense
Mycobacterium simiae
Mycobacterium sp. djl-10
Mycobacterium sp. EPa45
Mycobacterium sp. JLS
Mycobacterium sp. JS623
Mycobacterium sp. KMS
Mycobacterium sp. MCS
Mycobacterium sp. MS1601
Mycobacterium sp. NRRL B-3805
Mycobacterium sp. QIA-37
Mycobacterium sp. VKM Ac-1817D
Mycobacterium sp. WY10
Mycobacterium sp. YC-RL4
Mycobacterium tuberculosis
Mycobacterium ulcerans
Mycobacteroides abscessus
Mycobacteroides chelonae
Mycobacteroides immunogenum
Mycobacteroides saopaulense
Mycolicibacter sinensis
Mycolicibacter terrae
Mycolicibacterium aurum
Mycolicibacterium chubuense
Mycolicibacterium fortuitum
Mycolicibacterium gilvum
Mycolicibacterium goodii
Mycolicibacterium litorale
Mycolicibacterium neoaurum
Mycolicibacterium pallens
Mycolicibacterium phlei
Mycolicibacterium rhodesiae
Mycolicibacterium rutilum
Mycolicibacterium smegmatis
Mycolicibacterium thermoresistibile
Mycolicibacterium vaccae
Mycolicibacterium vanbaalenii
Myxococcus
Myxococcus fulvus
Myxococcus hansupus
Myxococcus macrosporus
Myxococcus stipitatus
Myxococcus xanthus
Nakamurella multipartita
Nakamurella panacisegetis
Neorhizobium galegae
Niastella koreensis
Nitratireductor basaltis
Nitrobacter hamburgensis
Nitrobacter winogradskyi
Nitrososphaera viennensis
Nitrospira
Nitrospira defluvii
Nitrospira japonica
Nitrospira moscoviensis
Nitrospirillum amazonense
Nocardia
Nocardia brasiliensis
Nocardia cyriacigeorgica
Nocardia farcinica
Nocardia nova
Nocardia seriolae
Nocardia soli
Nocardia terpenica
Nocardioides dokdonensis
Nocardioides sp. JS614
Nocardiopsis alba
Nocardiopsis dassonvillei
Nocardiopsis gilva
Nonomuraea gerenzanensis
Nonomuraea sp. ATCC 55076
Nostocales
Novosphingobium aromaticivorans
Novosphingobium resinovorum
Oceanithermus profundus
Ochrobactrum
Ochrobactrum anthropi
Odoribacter splanchnicus
Oligotropha carboxidovorans
Olsenella sp. Marseille-P2300
Onchocerca flexuosa
Opitutaceae bacterium TAV5
Opitutus sp. GAS368
Opitutus terrae
Oryza sativa
Paenibacillus mucilaginosus
Paeniclostridium sordellii
Paludibacter propionicigenes
Paludisphaera borealis
Pan troglodytes
Pandoraea apista
Pandoraea norimbergensis
Pandoraea pnomenusa
Pandoraea pulmonicola
Pandoraea thiooxydans
Pandoraea vervacti
Pannonibacter phragmitetus
Pantholops hodgsonii
Pantoea agglomerans
Parabacteroides
Paraburkholderia caribensis
Paraburkholderia fungorum
Paraburkholderia phymatum
Paraburkholderia phytofirmans
Paraburkholderia sp. CCGE1002
Paraburkholderia sp. SOS3
Paraburkholderia sprentiae
Paraburkholderia xenovorans
Paracoccus aminovorans
Paracoccus contaminans
Paracoccus denitrificans
Paracoccus yeei
Paraoerskovia marina
Pararhodospirillum photometricum
Parastrongyloides trichosuri
Parvibaculum lavamentivorans
Pasteurella dagmatis
Paucibacter sp. KCTC 42545
Pedobacter
Pelagibaca abyssi
Pelagibacterium halotolerans
Pelobacter acetylenicus
Pelobacter propionicus
Phenylobacterium zucineum
Phycicoccus dokdonensis
Phycisphaera mikurensis
Pimelobacter simplex
Pirellula staleyi
Planctomyces sp. SH-PL14
Planctomyces sp. SH-PL62
Planococcus
Plantibacter flavus
Polaromonas naphthalenivorans
Polaromonas sp. JS666
Polymorphum gilvum
Polynucleobacter asymbioticus
Polynucleobacter duraquae
Polynucleobacter necessarius
Porphyrobacter sp. CACIAM 03H1
Porphyromonas asaccharolytica
Prauserella marina
Prevotella ruminicola
Protopolystoma xenopodis
Pseudarthrobacter chlorophenolicus
Pseudarthrobacter equi
