#Datasets	KT01calc.unmapped	KT02calc.unmapped	KT03calc.unmapped	KT04calc.unmapped	KT05calc.unmapped	KT06calc.unmapped	KT07calc.unmapped	KT08calc.unmapped	KT09calc.unmapped	KT10calc.unmapped	KT11calc.unmapped	KT12calc.unmapped	KT13calc.unmapped	KT14calc.unmapped	KT15calc.unmapped	KT16calc.unmapped	KT17calc.unmapped	KT18calc.unmapped	KT19calc.unmapped	KT20calc.unmapped	KT21calc.unmapped	KT22calc.unmapped	KT23calc.unmapped	KT24calc.unmapped	KT25calc.unmapped	KT26calc.unmapped	KT27calc.unmapped	KT28calc.unmapped	KT29calc.unmapped	KT30calc.unmapped	KT31calc.unmapped	KT32calc.unmapped	KT33calc.unmapped	KT34calc.unmapped	KT35calc.unmapped	KT36calc.unmapped
"Lachnospiraceae bacterium 3_1_46FAA"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Lachnospiraceae bacterium oral taxon 082"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	266.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Lachnospiraceae bacterium oral taxon 500"	31590.0	3682.0	5839.0	11998.0	9552.0	19894.0	24171.0	5205.0	3982.0	7132.0	7427.0	6240.0	8445.0	11269.0	45421.0	9664.0	7591.0	19092.0	11909.0	22227.0	10011.0	5195.0	10192.0	20932.0	10570.0	33616.0	10185.0	8180.0	19156.0	11885.0	28143.0	19654.0	18806.0	12066.0	12138.0	13700.0
"Oscillibacter sp. 1-3"	0.0	0.0	0.0	0.0	0.0	240.0	0.0	0.0	0.0	177.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Peptococcus niger"	0.0	0.0	0.0	0.0	0.0	211.0	0.0	0.0	1144.0	0.0	0.0	0.0	0.0	0.0	335.0	0.0	0.0	0.0	0.0	0.0	195.0	0.0	0.0	0.0	343.0	0.0	0.0	423.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Filifactor alocis"	11092.0	1181.0	2973.0	6632.0	2499.0	17343.0	13815.0	381.0	2478.0	3442.0	3595.0	1848.0	2115.0	377.0	24993.0	2284.0	4328.0	9754.0	3095.0	12196.0	5140.0	3327.0	5304.0	8646.0	5774.0	3318.0	2741.0	7372.0	3945.0	5739.0	12839.0	7795.0	5364.0	6080.0	5439.0	11142.0
"[Eubacterium] yurii"	40674.0	866.0	980.0	7923.0	3404.0	276.0	5239.0	3490.0	0.0	748.0	1809.0	905.0	1357.0	1914.0	2841.0	4492.0	937.0	1444.0	11417.0	1919.0	898.0	5942.0	6436.0	5636.0	9131.0	8873.0	6543.0	0.0	15897.0	1948.0	11758.0	11686.0	10492.0	2550.0	1504.0	407.0
"Peptoanaerobacter stomatis"	3148.0	376.0	434.0	1207.0	287.0	1850.0	1157.0	0.0	1009.0	1254.0	734.0	842.0	919.0	567.0	1976.0	697.0	785.0	2076.0	1327.0	1499.0	739.0	681.0	1772.0	2219.0	1779.0	1865.0	939.0	1796.0	1553.0	977.0	2503.0	1568.0	1585.0	1002.0	759.0	1855.0
"Peptostreptococcus anaerobius"	1002.0	0.0	0.0	0.0	0.0	0.0	340.0	0.0	0.0	207.0	321.0	0.0	0.0	0.0	0.0	0.0	0.0	280.0	669.0	0.0	0.0	0.0	0.0	400.0	217.0	433.0	0.0	0.0	563.0	0.0	0.0	404.0	0.0	0.0	0.0	266.0
"Peptostreptococcaceae bacterium oral taxon 113"	18998.0	32382.0	5296.0	25767.0	3415.0	84323.0	19573.0	1055.0	6861.0	63885.0	31856.0	16733.0	40146.0	1233.0	35069.0	34076.0	22664.0	34268.0	4358.0	105631.0	47784.0	18745.0	54623.0	52613.0	12818.0	14288.0	5181.0	18292.0	5588.0	17677.0	27718.0	38342.0	22442.0	56567.0	27806.0	34363.0
"Peptostreptococcaceae bacterium pGA-8"	1293.0	501.0	0.0	623.0	0.0	1997.0	479.0	0.0	1484.0	1012.0	393.0	508.0	1083.0	0.0	1487.0	256.0	887.0	2902.0	0.0	927.0	636.0	0.0	1458.0	2188.0	1350.0	777.0	642.0	1973.0	536.0	892.0	1742.0	589.0	717.0	815.0	554.0	1525.0
"Flavonifractor plautii"	0.0	0.0	0.0	0.0	0.0	276.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"[Clostridium] sporosphaeroides"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	454.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	388.0
"Subdoligranulum sp. 4_3_54A2FAA"	0.0	0.0	0.0	0.0	0.0	0.0	419.0	0.0	0.0	0.0	787.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2880.0	0.0	440.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2567.0
"Ruminococcaceae bacterium"	0.0	0.0	0.0	0.0	0.0	208.0	0.0	0.0	221.0	277.0	0.0	0.0	0.0	0.0	341.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	283.0	202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Clostridiales bacterium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	288.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Clostridiales bacterium KA00274"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Clostridiales bacterium Marseille-P2846"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	267.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Eggerthia catenaformis"	3081.0	432.0	0.0	1612.0	0.0	1752.0	609.0	0.0	1533.0	1495.0	510.0	809.0	1052.0	428.0	3221.0	430.0	1057.0	6548.0	725.0	1438.0	711.0	405.0	1845.0	2267.0	1190.0	1495.0	750.0	2951.0	730.0	1185.0	4183.0	787.0	1099.0	804.0	648.0	2892.0
"Solobacterium moorei"	3370.0	0.0	0.0	294.0	0.0	285.0	446.0	0.0	0.0	194.0	399.0	0.0	0.0	3911.0	567.0	0.0	228.0	1204.0	3809.0	0.0	0.0	0.0	0.0	516.0	747.0	296.0	0.0	335.0	1704.0	0.0	1048.0	0.0	522.0	0.0	268.0	365.0
"Ndongobacter massiliensis"	0.0	0.0	0.0	0.0	0.0	694.0	0.0	0.0	536.0	307.0	0.0	186.0	276.0	0.0	0.0	0.0	284.0	833.0	0.0	0.0	0.0	0.0	373.0	607.0	642.0	0.0	212.0	769.0	0.0	232.0	0.0	0.0	0.0	0.0	0.0	514.0
"Centipeda periodontii"	2741.0	194.0	1874.0	335.0	1646.0	0.0	1518.0	643.0	0.0	192.0	803.0	356.0	390.0	2448.0	1116.0	558.0	284.0	756.0	2429.0	1156.0	309.0	1070.0	0.0	784.0	718.0	631.0	709.0	0.0	5827.0	716.0	2883.0	1472.0	3405.0	564.0	474.0	535.0
"Mitsuokella sp. oral taxon 131"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	389.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Schwartzia succinivorans"	0.0	0.0	0.0	0.0	0.0	215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Selenomonas artemidis"	1203.0	0.0	267.0	0.0	1373.0	0.0	858.0	0.0	0.0	0.0	448.0	0.0	239.0	800.0	409.0	409.0	0.0	345.0	715.0	521.0	0.0	486.0	0.0	498.0	444.0	314.0	468.0	0.0	2296.0	464.0	797.0	569.0	860.0	0.0	282.0	206.0
"Selenomonas bovis"	0.0	0.0	0.0	0.0	0.0	221.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	343.0	0.0	0.0	0.0	0.0	0.0	0.0	216.0
"Selenomonas felix"	0.0	0.0	0.0	0.0	249.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	686.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Selenomonas flueggei"	0.0	0.0	0.0	0.0	498.0	0.0	353.0	0.0	0.0	0.0	0.0	0.0	0.0	342.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	213.0	0.0	183.0	0.0	898.0	0.0	0.0	0.0	420.0	0.0	0.0	0.0
"Selenomonas infelix"	3576.0	202.0	2578.0	543.0	2957.0	0.0	3174.0	1040.0	0.0	246.0	1212.0	384.0	615.0	1832.0	1387.0	929.0	369.0	1259.0	6513.0	1460.0	558.0	1095.0	916.0	1240.0	1027.0	743.0	780.0	0.0	7382.0	1581.0	4201.0	2931.0	3331.0	981.0	571.0	619.0
"Selenomonas massiliensis"	2540.0	0.0	644.0	369.0	2394.0	0.0	1580.0	695.0	0.0	207.0	773.0	341.0	369.0	2282.0	1701.0	553.0	305.0	925.0	3893.0	1285.0	220.0	764.0	398.0	991.0	778.0	666.0	822.0	0.0	6646.0	756.0	2416.0	1756.0	2197.0	428.0	441.0	373.0
"Selenomonas noxia"	17085.0	1319.0	13985.0	1386.0	16050.0	0.0	9538.0	5356.0	0.0	903.0	7641.0	1595.0	3817.0	23355.0	2758.0	6399.0	1242.0	5122.0	9889.0	4401.0	4396.0	6968.0	2250.0	5568.0	5178.0	3957.0	5569.0	0.0	33367.0	6579.0	13570.0	7791.0	15829.0	4917.0	3266.0	1316.0
"Selenomonas ruminantium"	0.0	0.0	0.0	0.0	0.0	421.0	0.0	0.0	0.0	225.0	270.0	192.0	189.0	431.0	429.0	0.0	173.0	301.0	0.0	481.0	0.0	0.0	0.0	384.0	231.0	0.0	0.0	217.0	512.0	278.0	517.0	0.0	0.0	0.0	241.0	345.0
"Selenomonas sputigena"	6293.0	2189.0	2587.0	1263.0	719.0	485.0	1341.0	0.0	207.0	847.0	2413.0	2133.0	2771.0	16042.0	11902.0	1346.0	1998.0	4243.0	2629.0	8519.0	2113.0	1649.0	1023.0	5371.0	2886.0	2288.0	3742.0	488.0	18465.0	3098.0	6157.0	2661.0	3331.0	1417.0	6218.0	2271.0
"Selenomonas sp. F0473"	0.0	0.0	0.0	0.0	578.0	0.0	382.0	0.0	0.0	0.0	248.0	0.0	0.0	373.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215.0	0.0	262.0	0.0	993.0	0.0	0.0	0.0	428.0	0.0	0.0	0.0
"Selenomonas sp. oral taxon 126"	2695.0	421.0	1072.0	599.0	1994.0	0.0	5397.0	605.0	0.0	226.0	2059.0	302.0	517.0	1491.0	1988.0	587.0	1044.0	2352.0	3854.0	1470.0	693.0	1022.0	597.0	1034.0	1053.0	605.0	804.0	0.0	5329.0	1483.0	4881.0	1972.0	3475.0	731.0	877.0	1648.0
"Selenomonas sp. oral taxon 136"	640.0	0.0	0.0	0.0	276.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	368.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	848.0	0.0	0.0	0.0	397.0	0.0	0.0	0.0
"Selenomonas sp. oral taxon 138"	2159.0	200.0	622.0	323.0	1671.0	0.0	1848.0	558.0	0.0	0.0	826.0	240.0	326.0	1303.0	731.0	526.0	301.0	726.0	3817.0	848.0	279.0	663.0	357.0	805.0	711.0	488.0	728.0	0.0	4221.0	736.0	2074.0	1252.0	1858.0	463.0	440.0	403.0
"Selenomonas sp. oral taxon 149"	0.0	0.0	0.0	0.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	663.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Selenomonas sp. oral taxon 478"	0.0	0.0	0.0	0.0	287.0	0.0	270.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	684.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Selenomonas sp. oral taxon 892"	19157.0	456.0	667.0	3226.0	5880.0	0.0	9813.0	3628.0	0.0	2086.0	2579.0	2100.0	1170.0	5386.0	1217.0	1860.0	942.0	2361.0	13491.0	2928.0	517.0	2658.0	1637.0	9432.0	3104.0	8042.0	5060.0	0.0	27907.0	2241.0	3478.0	10098.0	10744.0	904.0	1350.0	306.0
"Selenomonas sp. oral taxon 920"	4148.0	375.0	2796.0	430.0	2818.0	0.0	2618.0	1584.0	0.0	249.0	1836.0	431.0	772.0	3160.0	2591.0	1041.0	881.0	2144.0	6394.0	3185.0	692.0	1643.0	727.0	1978.0	1129.0	989.0	950.0	0.0	11718.0	1615.0	4395.0	2597.0	2926.0	838.0	1369.0	545.0
"Anaeroglobus geminatus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3668.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1139.0	0.0	0.0	0.0	0.0	0.0
"Dialister invisus"	1700.0	234.0	0.0	221.0	0.0	0.0	868.0	0.0	0.0	316.0	2506.0	271.0	1181.0	4177.0	0.0	0.0	0.0	2947.0	3694.0	1359.0	381.0	1652.0	1577.0	2485.0	1352.0	360.0	0.0	319.0	1550.0	428.0	1748.0	1303.0	0.0	316.0	1144.0	1604.0
"Megasphaera micronuciformis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Veillonella sp. 3_1_44"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	384.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Veillonella sp. 6_1_27"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	399.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Veillonella parvula"	3882.0	0.0	0.0	0.0	0.0	0.0	295.0	8716.0	0.0	0.0	340.0	0.0	0.0	744.0	0.0	951.0	0.0	0.0	4980.0	0.0	0.0	1658.0	2289.0	415.0	0.0	0.0	0.0	0.0	1933.0	463.0	3543.0	845.0	0.0	0.0	268.0	0.0
"Veillonella rodentium"	934.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	483.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	445.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
