Species
Nannocystis exedens
Neisseria shayeganii
Neisseria sp. HMSC06F02
Neisseria sp. HMSC072C05
Neisseria sp. HMSC078C12
Neisseria sp. HMSC15G01
Neorhizobium galegae
Nesterenkonia massiliensis
Nevskia soli
Niastella koreensis
Niastella yeongjuensis
Nitriliruptor alkaliphilus
Nitrobacter hamburgensis
Nitrososphaera viennensis
Nitrospira cf. moscoviensis SBR1015
Nitrospira defluvii
Nitrospira japonica
Nitrospira moscoviensis
Nitrospirillum amazonense
Nocardia amikacinitolerans
Nocardia brasiliensis
Nocardia cyriacigeorgica
Nocardia farcinica
Nocardia mexicana
Nocardia neocaledoniensis
Nocardia nova
Nocardia pseudobrasiliensis
Nocardia puris
Nocardia seriolae
Nocardia sp. BMG111209
Nocardia sp. Root136
Nocardia tenerifensis
Nocardia terpenica
Nocardioides alkalitolerans
Nocardioides alpinus
Nocardioides dokdonensis
Nocardioides halotolerans
Nocardioides insulae
Nocardioides lianchengensis
Nocardioides psychrotolerans
Nocardioides sp. CF8
Nocardioides sp. Iso805N
Nocardioides sp. J54
Nocardioides sp. JS614
Nocardioides sp. Leaf307
Nocardioides sp. Root122
Nocardioides sp. Root140
Nocardioides sp. Root151
Nocardioides sp. Root190
Nocardioides sp. Root224
Nocardioides sp. Soil777
Nocardioides sp. Soil796
Nocardioides sp. Soil805
Nocardioides sp. URHA0020
Nocardioides sp. URHA0032
Nocardioides sp. XL1
Nocardioides szechwanensis
Nocardioides terrae
Nocardiopsis alba
Nocardiopsis flavescens
Nocardiopsis gilva
Nocardiopsis sinuspersici
Nocardiopsis sp. CNR-923
Nocardiopsis sp. CNT312
Nocardiopsis sp. TSRI0078
Nonomuraea candida
Nonomuraea coxensis
Nonomuraea indica
Nonomuraea jiangxiensis
Nonomuraea maritima
Nonomuraea pusilla
Nonomuraea solani
Nonomuraea sp. ATCC 55076
Nonomuraea sp. NBRC 110462
Nonomuraea sp. SBT364
Nonomuraea wenchangensis
Noviherbaspirillum denitrificans
Noviherbaspirillum humi
Oceanicella actignis
Oceanicella sp. SM1341
Oceanicola granulosus
Oceanithermus profundus
Oleiagrimonas soli
Oligotropha carboxidovorans
Olsenella sp. kh2p3
Olsenella sp. SIT9
Opitutaceae bacterium TAV1
Opitutaceae bacterium TAV5
Opitutaceae bacterium TSB47
Opitutus sp. GAS368
Opitutus terrae
Oribacterium sinus
Ornithinimicrobium pekingense
Ornithinimicrobium sp. CNJ-824
Ottowia oryzae
Oxalobacteraceae bacterium AB_14
Paenibacillus pasadenensis
Paludisphaera borealis
Pandoraea pnomenusa
Pandoraea sp. B-6
Pannonibacter phragmitetus
Paraburkholderia aromaticivorans
Paraburkholderia caballeronis
Paraburkholderia caribensis
Paraburkholderia diazotrophica
Paraburkholderia eburnea
Paraburkholderia hospita
Paraburkholderia mimosarum
Paraburkholderia phenazinium
Paraburkholderia piptadeniae
Paraburkholderia silvatlantica
Paraburkholderia sp. SOS3
Paraburkholderia tropica
Paraburkholderia unamae
Paracoccus sp. 228
Paracoccus yeei
Paraoerskovia marina
Paraprevotella clara
Parvibaculum lavamentivorans
Patulibacter minatonensis
Paucibacter sp. KCTC 42545
Pelomonas sp. Root1217
Pelomonas sp. Root1237
Pelomonas sp. Root1444
Pelomonas sp. Root662
Petrimonas mucosa
Phenylobacterium sp. Root700
Phenylobacterium zucineum
Phreatobacter cathodiphilus
Phycicoccus cremeus
Phycicoccus dokdonensis
Phycicoccus sp. Root563
Phycicoccus sp. Soil748
Phycicoccus sp. Soil803
