Library_ID	Observed_species	Shannon_index	Pileou_evenness	Site_code	Time_period	Dataset
MID038.A0101	88	3.78169028924861	0.842503151903632	MID	Industrial	Full
MID039.A0101	114	3.69195804445989	0.778084479310228	MID	Industrial	Full
MID040.A0101	72	3.04680217990146	0.712424607185011	MID	Industrial	Full
MID041.A0101	89	3.38064414156026	0.751286029684926	MID	Industrial	Full
MID042.A0101	86	3.43547499923018	0.769266833968175	MID	Industrial	Full
MID043.A0101	103	3.61447398418706	0.778244997606745	MID	Industrial	Full
MID044.A0101	102	3.65814072672338	0.789289025531719	MID	Industrial	Full
MID045.A0101	96	2.8939117106541	0.632588971030656	MID	Industrial	Full
MID046.A0101	33	1.41929772415535	0.405918677195732	MID	Industrial	Full
MID047.A0101	97	3.73370871772891	0.814337012224896	MID	Industrial	Full
MID048.A0101	92	3.24349116717063	0.715591830266517	MID	Industrial	Full
MID049.A0101	106	3.73297944514906	0.798869288260357	MID	Industrial	Full
MID050.A0101	98	2.92663915405687	0.636901593322131	MID	Industrial	Full
MID051.A0101	40	2.59780087123237	0.704224928883277	MID	Industrial	Full
MID053.A0101	29	2.11231390517579	0.627302741376385	MID	Industrial	Full
MID054.A0101	87	3.25584468425938	0.727183327761064	MID	Industrial	Full
MID055.A0101	89	3.13786386237235	0.699068403832321	MID	Industrial	Full
MID057.A0101	102	3.44917274476405	0.744201603486109	MID	Industrial	Full
MID058.A0101	42	2.48118404458307	0.663831825168813	MID	Industrial	Full
MID059.A0101	71	2.85072570265284	0.668763731944024	MID	Industrial	Full
MID060.A0101	92	2.95726134650029	0.652442676871714	MID	Industrial	Full
MID061.A0101	74	2.47296637360023	0.572778965122548	MID	Industrial	Full
MID062.A0101	101	3.56278076369023	0.770335504125967	MID	Industrial	Full
MID063.A0101	40	2.56809553057833	0.696172255700664	MID	Industrial	Full
MID064.A0101	56	2.11443666282107	0.525279981793319	MID	Industrial	Full
MID066.A0101	96	3.52565887786446	0.77068450759656	MID	Industrial	Full
MID067.A0101	67	3.01227002011064	0.713891342446291	MID	Industrial	Full
MID068.B0101	55	2.88199607565413	0.71596131147681	MID	Industrial	Full
MID070.A0101	94	3.35915530578429	0.737647368548792	MID	Industrial	Full
MID071.A0101	96	3.45785283608407	0.755862578495683	MID	Industrial	Full
MID072.A0101	48	2.68876566707718	0.694555942587595	MID	Industrial	Full
MID073.A0101	110	3.5154271315343	0.746449641740212	MID	Industrial	Full
MID074.A0101	65	3.11581138501415	0.746411672794328	MID	Industrial	Full
MID075.A0101	33	2.65513071180958	0.759366500753679	MID	Industrial	Full
MID077.A0101	119	3.74492236331519	0.782230563417951	MID	Industrial	Full
MID079.A0101	127	3.73925623282355	0.77065806052967	MID	Industrial	Full
MID080.A0101	93	3.79131340768233	0.83448545370152	MID	Industrial	Full
MID081.A0101	81	3.17913408715795	0.723443138209417	MID	Industrial	Full
MID082.A0101	98	3.64487231794654	0.794961433184121	MID	Industrial	Full
MID083.A0101	97	3.54035689429658	0.772166195456444	MID	Industrial	Full
MID084.A0101	72	2.78802070721634	0.65191451229253	MID	Industrial	Full
MID085.A0101	102	3.59909684019478	0.776549578051931	MID	Industrial	Full
MID086.A0101	78	3.25295218205733	0.746653566134476	MID	Industrial	Full
MID087.A0101	115	3.70475227379001	0.779358784592191	MID	Industrial	Full
MID088.A0101	78	2.56671510090434	0.589140840714535	MID	Industrial	Full
MID089.A0101	79	3.0159194918188	0.688247640476345	MID	Industrial	Full
MID090.A0101	78	3.18753491586688	0.729505196879092	MID	Industrial	Full
MID091.A0101	105	2.47323186865754	0.530345056244045	MID	Industrial	Full
MID092.A0101	50	2.63257512954679	0.672944695338946	MID	Industrial	Full
MID093.A0101	88	3.10454454998622	0.693390888071491	MID	Industrial	Full
MID094.A0101	120	3.76309555528886	0.784666369290033	MID	Industrial	Full
MID097.A0101	57	2.74316709365753	0.678489317086192	MID	Industrial	Full
MID101.A0101	112	3.71377298208928	0.785586697031523	MID	Industrial	Full
MID102.A0101	101	3.19988870387563	0.691871894832467	MID	Industrial	Full
VLC001.A0101	134	3.68055963976834	0.750326904406368	VLC	Modern	Full
VLC002.A0101	119	3.23401382747905	0.675513191715657	VLC	Modern	Full
VLC003.A0101	97	2.956724758453	0.644873659891327	VLC	Modern	Full
VLC004.A0101	156	3.82148312525292	0.755794570194886	VLC	Modern	Full
VLC005.A0101	140	3.60166804958067	0.727792038684956	VLC	Modern	Full
VLC008.A0101	122	3.171247350274	0.659003711429626	VLC	Modern	Full
VLC009.A0101	136	3.33016572529937	0.676865576412543	VLC	Modern	Full
VLC010.A0101	110	2.99248208647571	0.635409894099806	VLC	Modern	Full
CMB001.A0101	38	2.74728647955506	0.755249871459185	CMB	Industrial	Sub10M
CMB002.A0101	78	3.26026021381941	0.746149244458574	CMB	Industrial	Sub10M
CMB003.A0101	37	2.44923623295246	0.6782863228145	CMB	Industrial	Sub10M
CMB004.A0101	33	2.43005725927175	0.694995568164181	CMB	Industrial	Sub10M
CMB005.A0101	76	3.09478534171058	0.714609997554356	CMB	Industrial	Sub10M
CMB006.A0101	87	2.94874695933161	0.660279361103373	CMB	Industrial	Sub10M
CMB007.A0101	41	2.25568946051608	0.607417715342182	CMB	Industrial	Sub10M
CMB008.A0101	36	2.31401628856508	0.645738540330426	CMB	Industrial	Sub10M
CS01	93	3.53222891672688	0.779294292836264	RAD	Industrial	Sub10M
CS02	32	1.70025736551078	0.490590573891468	RAD	Industrial	Sub10M
CS03	37	1.02078338006393	0.282693598901679	RAD	Industrial	Sub10M
CS04	74	3.12756642791371	0.726654072414455	RAD	Industrial	Sub10M
CS07	82	3.62350664668175	0.820012978130153	RAD	Industrial	Sub10M
CS08	98	3.77647766580134	0.82184530305357	RAD	Industrial	Sub10M
CS09	69	2.93177849482269	0.692419638391112	RAD	Industrial	Sub10M
CS10	102	3.72392100492765	0.803481932683642	RAD	Industrial	Sub10M
CS11	56	2.85790643687917	0.709976830957901	RAD	Industrial	Sub10M
CS12	70	2.57331717382634	0.60368529846357	RAD	Industrial	Sub10M
CS13	104	3.80512010751769	0.817609051479971	RAD	Industrial	Sub10M
CS14	30	2.61250469665621	0.768113227048143	RAD	Industrial	Sub10M
CS15	108	3.24543173169681	0.691790891055112	RAD	Industrial	Sub10M
CS16	96	3.16164633354679	0.691113897337646	RAD	Industrial	Sub10M
CS17	69	2.78106179696687	0.65459924950401	RAD	Industrial	Sub10M
CS18	47	2.55492914165296	0.659983590222757	RAD	Industrial	Sub10M
CS19	101	3.59150643658364	0.776546496936757	RAD	Industrial	Sub10M
CS20	54	1.40855361578787	0.35311086716455	RAD	Industrial	Sub10M
CS21	63	2.58259712319344	0.623343746642474	RAD	Industrial	Sub10M
CS22	106	3.27780389873976	0.701460296291211	RAD	Industrial	Sub10M
CS23	85	3.68455613290085	0.827182051116643	RAD	Industrial	Sub10M
CS24	79	3.76684499545841	0.859612528516442	RAD	Industrial	Sub10M
CS26	41	2.86536810567929	0.771593510025033	RAD	Industrial	Sub10M
CS27	24	2.33553033525016	0.734893258555804	RAD	Industrial	Sub10M
CS28	29	2.00357751717014	0.595010839061974	RAD	Industrial	Sub10M
CS29	77	2.9435763629233	0.675642206082417	RAD	Industrial	Sub10M
CS30	61	3.20418793358538	0.779442045524725	RAD	Industrial	Sub10M
CS31	84	2.32982378506657	0.52442193873825	RAD	Industrial	Sub10M
CS32	64	2.84159990858824	0.680722636608482	RAD	Industrial	Sub10M
CS33	78	3.34820469937635	0.766276383750852	RAD	Industrial	Sub10M
CS34	98	3.45722775174854	0.752369440733364	RAD	Industrial	Sub10M
CS35	39	2.60625122467621	0.711398217477675	RAD	Industrial	Sub10M
CS36	31	2.70069436752087	0.786460230251727	RAD	Industrial	Sub10M
CS37	40	1.58472808573129	0.429596061742804	RAD	Industrial	Sub10M
CS38	39	2.67216830855653	0.729390840571641	RAD	Industrial	Sub10M
CS39	57	1.55434268716393	0.384447929099953	RAD	Industrial	Sub10M
CS40	33	2.44378900760189	0.698922843620832	RAD	Industrial	Sub10M
CS42	71	2.5512168856828	0.596543385591618	RAD	Industrial	Sub10M
CS43	32	1.29656818679655	0.374110498653155	RAD	Industrial	Sub10M
CS44	98	3.70499509763291	0.806289110723498	RAD	Industrial	Sub10M
CS45	76	3.34767540806417	0.770678030655336	RAD	Industrial	Sub10M
CS46	84	3.60084710192992	0.810517615279705	RAD	Industrial	Sub10M
CS47	99	3.33114350680686	0.723348621717033	RAD	Industrial	Sub10M
CS48	26	2.74582609465967	0.842770023115122	RAD	Industrial	Sub10M
ELR003.A0101	48	2.54177585706195	0.656585863121026	ELR	Medieval	Sub10M
ELR004.A0101	75	3.43921070834719	0.794140492639938	ELR	Medieval	Sub10M
ELR006.A0101	71	2.79629523328472	0.655994659215554	ELR	Medieval	Sub10M
ELR008.A0101	64	2.98129264286329	0.714186885429494	ELR	Medieval	Sub10M
ELR010.A0101	6	1.52202058449933	0.849455862038816	ELR	Medieval	Sub10M
IVE002.B0101	92	3.4113699884869	0.752629918800451	IVE	Medieval	Sub10M
IVE003.A0101	71	3.28812853930156	0.768853225338541	IVE	Medieval	Sub10M
IVE005.A0101	62	3.22018843079949	0.777234785604984	IVE	Medieval	Sub10M
IVE005.B0101	69	3.17213415558283	0.746648866211905	IVE	Medieval	Sub10M
IVE007.B0101	68	2.96915569266518	0.701247285452401	IVE	Medieval	Sub10M
JAE006.A0101	57	2.6717215551437	0.65798769942203	JAE	Modern	Sub10M
JAE007.A0101	59	2.70896628419009	0.661636128328162	JAE	Modern	Sub10M
JAE008.A0101	116	3.4830188167049	0.731392608584511	JAE	Modern	Sub10M
JAE009.A0101	123	3.46320971375309	0.71846626936997	JAE	Modern	Sub10M
JAE010.A0101	108	3.36779420882304	0.717873475463261	JAE	Modern	Sub10M
JAE012.A0101	104	3.01793077786254	0.64846508152146	JAE	Modern	Sub10M
